id,timestamp,sourceIP,destinationIP,protocol,severityScore,sourceType,geoCountry,isFalsePositive,confidenceScore,priority,category,mitreId,mitreName,mitreTactic,correlationGroup,description
ALT-003,2025-07-15T08:19:41Z,185.15.59.222,203.0.113.10,TCP,99,SIEM,Russia (RU),false,1.00,CRITICAL,Command & Control,T1071,Application Layer Protocol,Command and Control,1,"Repeated C2 beacon traffic detected on port 443 — high-frequency periodic pattern"
ALT-016,2025-07-15T11:00:00Z,185.15.59.101,198.51.100.90,TCP,97,SATELLITE,Russia (RU),false,1.00,CRITICAL,Impact,T1498,Network Denial of Service,Impact,1,"Nation-state attributed DDoS command issued — flood traffic targeting critical infrastructure"
ALT-011,2025-07-15T10:00:00Z,91.108.4.200,198.51.100.44,TCP,95,INTEL_REPORT,Russia (RU),false,1.00,CRITICAL,Command & Control,T1071,Application Layer Protocol,Command and Control,6,"APT29 attributed C2 infrastructure — Cozy Bear TTP match — beacon + data exfil pattern"
ALT-006,2025-07-15T09:03:11Z,112.213.89.44,198.51.100.22,TCP,92,CYBER_SENSOR,China (CN),false,0.92,CRITICAL,Reconnaissance,T1046,Network Service Discovery,Reconnaissance,3,"Automated port scan sweep targeting SSH and RDP ports — active recon"
ALT-012,2025-07-15T10:05:30Z,31.184.196.8,203.0.113.20,TCP,91,INTEL_REPORT,Russia (RU),false,1.00,CRITICAL,Initial Access,T1566,Phishing,Initial Access,4,"Spear phishing campaign targeting defence sector — malicious email payload confirmed"
ALT-005,2025-07-15T08:21:30Z,8.8.8.8,198.51.100.5,UDP,90,SIEM,United States (US),false,1.00,CRITICAL,Exfiltration,T1041,Exfiltration Over C2 Channel,Exfiltration,2,"DNS resolver large query volume — possible DNS tunnelling exfiltration"
ALT-007,2025-07-15T09:15:44Z,31.184.196.5,203.0.113.55,TCP,88,CYBER_SENSOR,Russia (RU),false,0.98,CRITICAL,Unknown,T1110,Brute Force,Credential Access,4,"Brute force login attempts against admin portal — 4200 auth failures in 10 minutes"
ALT-017,2025-07-15T11:07:22Z,112.213.89.88,203.0.113.100,TCP,86,SATELLITE,China (CN),false,1.00,CRITICAL,Command & Control,T1071,Application Layer Protocol,Command and Control,3,"Malware C2 callback — Cobalt Strike beacon identified by satellite sensor correlation"
ALT-013,2025-07-15T10:11:18Z,179.60.147.12,198.51.100.60,TCP,83,INTEL_REPORT,Venezuela (VE),false,1.00,HIGH,Lateral Movement,T1021,Remote Services,Lateral Movement,7,"Lateral movement activity using valid admin credentials — pass-the-hash technique"
ALT-008,2025-07-15T09:22:17Z,80.82.77.10,198.51.100.30,TCP,76,CYBER_SENSOR,Netherlands (NL),false,0.76,HIGH,Unknown,T1203,Exploitation for Client Execution,Execution,5,"Exploit attempt detected on Apache Struts CVE-2021-31805 — shellcode injection payload"
ALT-020,2025-07-15T11:25:00Z,45.33.22.99,203.0.113.77,TCP,72,SATELLITE,United States (US),false,0.87,HIGH,Unknown,T1110,Brute Force,Credential Access,11,"Credential stuffing attack against authentication endpoint — password spray pattern"
ALT-014,2025-07-15T10:18:45Z,66.240.219.7,198.51.100.80,TCP,55,INTEL_REPORT,United States (US),false,0.70,MEDIUM,Reconnaissance,T1046,Network Service Discovery,Reconnaissance,8,"Vulnerability scan from known threat actor IP range — T1595 active scanning IOC match"
ALT-015,2025-07-15T10:25:10Z,94.102.49.23,203.0.113.33,UDP,44,INTEL_REPORT,Netherlands (NL),false,0.69,MEDIUM,Exfiltration,T1041,Exfiltration Over C2 Channel,Exfiltration,9,"Data exfiltration via DNS — large TXT record queries consistent with DNS tunnel"
ALT-018,2025-07-15T11:14:33Z,104.21.44.5,198.51.100.110,TCP,38,SATELLITE,United States (US),false,0.53,MEDIUM,Exfiltration,T1041,Exfiltration Over C2 Channel,Exfiltration,10,"Anomalous outbound transfer — large upload to known cloud drop zone"
ALT-004,2025-07-15T08:20:00Z,127.0.0.1,10.0.0.1,TCP,100,SIEM,Loopback,true,0.00,FILTERED,Unknown,,,,0,"Loopback traffic flagged by misconfigured rule — false positive"
ALT-001,2025-07-15T08:14:22Z,192.168.1.50,10.0.0.5,TCP,85,SIEM,Private Network,true,0.00,FILTERED,Unknown,,,,0,"Internal host flagged for lateral movement via RDP — internal origin filtered"
ALT-009,2025-07-15T09:28:59Z,10.0.5.22,10.0.5.100,TCP,60,CYBER_SENSOR,Private Network,true,0.00,FILTERED,Unknown,,,,0,"SMB lateral movement detected — internal pivot from compromised workstation"
ALT-002,2025-07-15T08:17:05Z,45.33.22.11,203.0.113.10,UDP,20,SIEM,United States (US),true,0.00,FILTERED,Unknown,,,,0,"Low-severity UDP probe — likely multicast noise"
ALT-010,2025-07-15T09:31:02Z,45.155.205.33,203.0.113.10,ICMP,18,CYBER_SENSOR,Ukraine (UA),true,0.00,FILTERED,Unknown,,,,0,"ICMP ping sweep — low severity, likely reconnaissance pre-scan noise"
ALT-019,2025-07-15T11:19:45Z,192.168.50.12,10.10.0.1,UDP,15,SATELLITE,Private Network,true,0.00,FILTERED,Unknown,,,,0,"Internal UDP heartbeat noise from VoIP system — false positive confirmed"
